Name,Status,Site,Cluster,Role,Tenant,VCPUs,Memory (MB),Disk,IP Address,ID,Device,Tenant Group,IPv4 Address,IPv6 Address,Description,Comments,Config Template,Serial number,Contacts,Tags,Created,Last updated,Platform,Interfaces,Virtual Disks,Backup,DTAP state,Harddisk,open actions,Server Group
coligo-acc-janus5,Active,,vw-vcenter01,VM,Systems Infrastructure,2.0,4000,,172.18.0.137,676,,,172.18.0.137/22,,Janus Acceptance,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:25:18.714429Z,2025-07-22T10:25:19.111333Z,Debian 10.0 (buster),0,,No,Acceptance,,,Voiceworks
coligo-acc-janus6,Active,,vw-vcenter01,VM,Systems Infrastructure,2.0,,,172.18.64.36,684,,,172.18.64.36/22,,,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:25:23.420630Z,2025-07-22T10:25:23.815526Z,Debian 10.0 (buster),0,,,Acceptance,,,Voiceworks
coligo-acc-janus7,Active,,vw-vcenter01,VM,Systems Infrastructure,2.0,,,172.18.64.37,685,,,172.18.64.37/22,,,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:25:24.037793Z,2025-07-22T10:25:24.494552Z,Debian 10.0 (buster),0,,,Acceptance,,,Voiceworks
coligo-acc-managedvoice1,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.93,170,vw436,,172.18.31.93/22,,Managed Voice,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:21:07.597658Z,2025-07-22T10:21:08.077178Z,Ubuntu 16.04 LTS,0,,,Acceptance,,,Voiceworks
coligo-acc-managedvoice2,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.94,171,vw437,,172.18.31.94/22,,Managed Voice,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:21:08.614366Z,2025-07-22T10:21:09.019513Z,Ubuntu 16.04 LTS,0,,,Acceptance,,,Voiceworks
coligo-acc-meetings1,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.15,545,vw436,,172.18.31.15/22,,Meetings acceptance,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:23:47.056371Z,2025-07-22T10:23:47.468983Z,Ubuntu 16.04 LTS,0,,,Acceptance,,,Voiceworks
coligo-acc-meetings2,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.16,546,vw437,,172.18.31.16/22,,Meetings acceptance,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:23:48.384682Z,2025-07-22T10:23:48.811888Z,Ubuntu 16.04 LTS,0,,,Acceptance,,,Voiceworks
coligo-acc-reach1,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.9,652,vw436,,172.18.31.9/22,,,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:25:01.128529Z,2025-07-22T10:25:01.560854Z,Ubuntu 16.04 LTS,0,,,Acceptance,,,Voiceworks
coligo-acc-reach2,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.10,653,vw437,,172.18.31.10/22,,,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:25:02.121160Z,2025-07-22T10:25:02.547289Z,Ubuntu 16.04 LTS,0,,,Acceptance,,,Voiceworks
coligo-acc-summatel1,Active,,LXC containers,Container,Systems Infrastructure,,,,172.18.31.130,120,vw436,,172.18.31.130/22,,Coligo GRID acceptance summatel,,,,T&P / Coligo Grid (responsible),,2025-07-22T10:20:12.142772Z,2025-07-22T10:20:12.595649Z,Ubuntu 16.04 LTS,0,,,Acceptance,,,Voiceworks
