application_name,average_throughput_gb_per_hr,backup_level_name,backup_set_name,client_groups,client_id,client_name,destination_client_name,elapsed_seconds,end_time,job_id,job_type,localized_operation,localized_status,percent_complete,percent_savings,plan_name,retain_until,size_of_application_bytes,size_on_media_bytes,start_time,status,storage_policy_name,subclient_name,total_num_files
MySQL,23.3315,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,32,2025-10-01T05:04:29+00:00,1644040,Backup,Backup,Completed,100.0,68.5684,applications - MySQL databases,2025-10-15T05:03:24+00:00,41753432,13123753,2025-10-01T05:03:24+00:00,Completed,2 weeks,default,6
MySQL,19.4995,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,30,2025-10-01T04:04:00+00:00,1644024,Backup,Backup,Completed,100.0,68.8282,applications - MySQL databases,2025-10-15T04:03:01+00:00,34895755,10877631,2025-10-01T04:03:01+00:00,Completed,2 weeks,default,5
MySQL,18.7091,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,32,2025-10-01T03:03:37+00:00,1644007,Backup,Backup,Completed,100.0,68.98,applications - MySQL databases,2025-10-15T03:02:43+00:00,33481189,10385855,2025-10-01T03:02:43+00:00,Completed,2 weeks,default,5
MySQL,12.1986,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,27,2025-10-01T02:03:13+00:00,1643987,Backup,Backup,Completed,100.0,69.4119,applications - MySQL databases,2025-10-15T02:02:20+00:00,25468658,7790387,2025-10-01T02:02:20+00:00,Completed,2 weeks,default,5
MySQL,16.1228,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,30,2025-10-01T01:03:00+00:00,1643969,Backup,Backup,Completed,100.0,69.6681,applications - MySQL databases,2025-10-15T01:01:57+00:00,28852792,8751598,2025-10-01T01:01:57+00:00,Completed,2 weeks,default,5
MySQL,15.3244,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,28,2025-10-01T00:02:31+00:00,1643928,Backup,Backup,Completed,100.0,69.2961,applications - MySQL databases,2025-10-15T00:01:34+00:00,36565543,11227044,2025-10-01T00:01:34+00:00,Completed,2 weeks,default,5
MySQL,80.9505,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,19,2025-09-30T23:01:53+00:00,1643902,Backup,Backup,Completed,100.0,81.2229,applications - MySQL databases,2025-10-14T23:01:11+00:00,169011070,31735354,2025-09-30T23:01:11+00:00,Completed,2 weeks,default,5
MySQL,18.6814,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,23,2025-09-30T22:01:42+00:00,1643884,Backup,Backup,Completed,100.0,69.2298,applications - MySQL databases,2025-10-14T22:00:51+00:00,33431606,10286960,2025-09-30T22:00:51+00:00,Completed,2 weeks,default,5
MySQL,12.0332,Incremental,defaultDummyBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,23,2025-09-30T21:01:17+00:00,1643668,Backup,Backup,Completed,100.0,68.7537,applications - MySQL databases,2025-10-14T21:00:32+00:00,25123261,7850094,2025-09-30T21:00:32+00:00,Completed,2 weeks,default,4
Linux File System,380.223,Incremental,defaultBackupSet,"Linux file system agents, Systems backup - daily MySQL full, Firewall - direct, All agents, Active backups, Updates needed, Mobile Operations",1371,vm8,vm8,90,2025-09-30T20:02:19+00:00,1643638,Backup,Backup,Completed,100.0,93.6443,systems - daily files,2025-10-15T20:00:29+00:00,3742398366,237857149,2025-09-30T20:00:29+00:00,Completed,2 weeks with monthly and Airgap,default,1497
